model,fold,test_pid,group_overlap,dup_rows,train_acc_leaky,test_acc_leaky,gap_leaky,train_acc_clean,test_acc_clean,gap_clean,leak_gain_test
LightGBM,11,11,0,0,0.999880948837763,0.44313289820858215,0.5567480506291809,0.9999404744188816,0.8743230106929593,0.1256174637259223,-0.4311901124843771
XGB+LGB_Ensemble,1,1,0,0,0.9999691351673903,0.2861111111111111,0.7138580240562792,0.9999176937797074,0.7484259259259259,0.25149176785378147,-0.46231481481481485
XGB+LGB_Ensemble,2,2,0,0,0.9998931601102587,0.32354166666666667,0.6763514934435921,0.9999465800551294,0.7495138888888889,0.25043269116624045,-0.42597222222222225
XGB+LGB_Ensemble,3,3,0,0,0.9999074055021708,0.9371296296296296,0.06277777587254119,0.9999382703347806,0.8448148148148148,0.15512345551996576,0.09231481481481485
XGB+LGB_Ensemble,4,4,0,0,0.999927982057244,0.8752777777777778,0.12465020427946616,0.9999382703347806,0.9997222222222222,0.00021604811255837575,-0.12444444444444436
XGB+LGB_Ensemble,5,5,0,0,0.9999090890725065,0.9358888888888889,0.06402020018361765,0.9999191902866724,0.9341111111111111,0.06580807917556131,0.001777777777777767
XGB+LGB_Ensemble,6,6,0,0,0.9999399393387322,0.9843190517347821,0.015620887603950084,0.9999499494489434,0.4443758488702309,0.5555741005787125,0.5399432028645512
XGB+LGB_Ensemble,7,7,0,0,0.9999286442405708,0.9538290563750252,0.04609958786554558,0.9999490316004077,0.9549403919983835,0.04500863960202417,-0.0011113356233583005
XGB+LGB_Ensemble,8,8,0,0,0.9999694183367652,0.8424242424242424,0.15754517591252282,0.9999694183367652,0.8424242424242424,0.15754517591252282,0.0
XGB+LGB_Ensemble,9,9,0,0,0.9999388366735306,0.0,0.9999388366735306,0.9999592244490204,0.022222222222222223,0.9777370022267982,-0.022222222222222223
XGB+LGB_Ensemble,10,10,0,0,0.9999206333458998,0.8238888888888889,0.17603174445701086,0.9999503958411873,0.95375,0.04620039584118729,-0.1298611111111111
XGB+LGB_Ensemble,11,11,0,0,0.9999503953490679,0.4439661158172476,0.5559842795318204,0.9999603162792543,0.8741841410915151,0.1257761751877392,-0.4302180252742675
